country,year,total_flights,%_change
Albania,2017,24559,10.036291948564013
Albania,2018,25515,3.8926666395211473
Albania,2019,28500,11.699000587889486
Albania,2020,15288,-46.35789473684211
Albania,2021,26190,71.31083202511775
Albania,2022,12879,-50.824742268041234
Armenia,2017,21210,15.234162773008798
Armenia,2018,23011,8.491277699198484
Armenia,2019,25556,11.059927860588402
Armenia,2020,9373,-63.323681327281264
Armenia,2021,19439,107.39357729648992
Armenia,2022,9795,-49.61160553526416
Austria,2017,327886,0.5624869652693487
Austria,2018,343331,4.710478641967031
Austria,2019,365761,6.533054108134717
Austria,2020,151426,-58.599741361162074
Austria,2021,172705,14.05240843712441
Austria,2022,96963,-43.856286731710135
Belgium,2017,336728,4.208858409051519
Belgium,2018,339760,0.9004300206695071
Belgium,2019,339194,-0.16658817989169128
Belgium,2020,166216,-50.99677470709978
Belgium,2021,209380,25.968619146171257
Belgium,2022,108640,-48.113477887095236
Bosnia and Herzegovina,2017,11860,11.655055545095095
Bosnia and Herzegovina,2018,12293,3.650927487352451
Bosnia and Herzegovina,2019,12918,5.08419425689417
Bosnia and Herzegovina,2020,5383,-58.32946276513392
Bosnia and Herzegovina,2021,10681,98.42095485788593
Bosnia and Herzegovina,2022,4968,-53.48750117030241
Bulgaria,2017,56774,12.199363648939743
Bulgaria,2018,59580,4.942403212738222
Bulgaria,2019,60266,1.1513930849278209
Bulgaria,2020,34984,-41.95068529519131
Bulgaria,2021,39888,14.017836725360166
Bulgaria,2022,19795,-50.37354592860008
Croatia,2017,41694,3.9154599606210816
Croatia,2018,43532,4.40830814985369
Croatia,2019,45216,3.868418634567683
Croatia,2020,22311,-50.65684713375796
Croatia,2021,29771,33.43642149612298
Croatia,2022,15614,-47.552987806926204
Cyprus,2017,79006,12.371280650850537
Cyprus,2018,82677,4.646482545629449
Cyprus,2019,80335,-2.832710427325613
Cyprus,2020,31583,-60.6858778863509
Cyprus,2021,51629,63.47085457366304
Cyprus,2022,23437,-54.60497007495787
Czech Republic,2017,163518,9.427093441119982
Czech Republic,2018,170030,3.982436184395599
Czech Republic,2019,166771,-1.9167205787213981
Czech Republic,2020,61205,-63.2999742161407
Czech Republic,2021,71075,16.126133485826323
Czech Republic,2022,37269,-47.56384101301442
Denmark,2017,259310,-2.429938894073025
Denmark,2018,266207,2.659750877328304
Denmark,2019,263434,-1.041670579661691
Denmark,2020,98204,-62.7215925051436
Denmark,2021,109870,11.879353183169727
Denmark,2022,73133,-33.436788932374625
Estonia,2017,43375,12.376288926887401
Estonia,2018,46517,7.243804034582135
Estonia,2019,45534,-2.1132059247157
Estonia,2020,20097,-55.86375016471208
Estonia,2021,23809,18.47041847041848
Estonia,2022,13776,-42.13952706959553
Finland,2017,176997,4.992258914112502
Finland,2018,192494,8.755515630208421
Finland,2019,194634,1.1117229627936487
Finland,2020,72789,-62.602114738432135
Finland,2021,72296,-0.6773001415048996
Finland,2022,51256,-29.102578289255288
France,2017,1837442,1.4939833572231498
France,2018,1856031,1.011678191747012
France,2019,1877249,1.1431921126317413
France,2020,882700,-52.97906670878504
France,2021,1124114,27.349495864959785
France,2022,592809,-47.26433440024766
Georgia,2017,32220,35.236096537250795
Georgia,2018,37959,17.811918063314703
Georgia,2019,36165,-4.726151900734998
Georgia,2020,10880,-69.91566431632793
Georgia,2021,21280,95.58823529411764
Georgia,2022,10208,-52.03007518796993
Germany,2017,2048846,1.5746493452925003
Germany,2018,2129836,3.95295693282951
Germany,2019,2128687,-0.053947815700361446
Germany,2020,875462,-58.8731457466504
Germany,2021,969535,10.745526362080815
Germany,2022,540966,-44.203561501131986
Greece,2017,460571,4.481461652934549
Greece,2018,504411,9.51861927911224
Greece,2019,508450,0.8007359078211929
Greece,2020,229559,-54.85121447536632
Greece,2021,370780,61.51838960790037
Greece,2022,133157,-64.08732941366848
Hungary,2017,102266,6.813030717650381
Hungary,2018,114474,11.937496333092135
Hungary,2019,122132,6.689728672012851
Hungary,2020,47770,-60.886581731241606
Hungary,2021,54543,14.178354615867693
Hungary,2022,35889,-34.200539024256095
Ireland,2017,283374,3.399280444285524
Ireland,2018,293961,3.7360520019479537
Ireland,2019,301124,2.4367177958980912
Ireland,2020,114483,-61.9814428607484
Ireland,2021,116793,2.017766830009693
Ireland,2022,95776,-17.995085321894287
Israel,2019,166767,6.6107936020866065
Israel,2020,54119,-67.54813602211469
Israel,2021,74950,38.491102939817814
Israel,2022,48152,-35.754503002001336
Italy,2017,1161145,2.639204163749631
Italy,2018,1203743,3.6686201981664723
Italy,2019,1231769,2.328237838143199
Italy,2020,480534,-60.988302189777464
Italy,2021,679105,41.32298651084003
Italy,2022,398448,-41.32748249534314
Latvia,2017,74724,10.225395326882225
Latvia,2018,83483,11.721802901343615
Latvia,2019,87545,4.86566127235486
Latvia,2020,35796,-59.111314181278196
Latvia,2021,39030,9.034528997653378
Latvia,2022,20863,-46.54624647706892
Lithuania,2017,55991,5.390855873661238
Lithuania,2018,61779,10.337375649657975
Lithuania,2019,63338,2.5235112254973435
Lithuania,2020,31116,-50.87309356152705
Lithuania,2021,34780,11.77529245404294
Lithuania,2022,20426,-41.27084531339851
Luxembourg,2017,70667,7.802965584574073
Luxembourg,2018,74875,5.954688892976923
Luxembourg,2019,76300,1.9031719532554225
Luxembourg,2020,40335,-47.13630406290956
Luxembourg,2021,47684,18.21990826825337
Luxembourg,2022,25993,-45.48905293180102
Malta,2017,50789,14.12745494584513
Malta,2018,56668,11.575341117171046
Malta,2019,58181,2.6699371779487446
Malta,2020,24307,-58.221756243447174
Malta,2021,32499,33.70222569630148
Malta,2022,16676,-48.68765192775162
Moldova,2017,27159,21.800161449457356
Moldova,2018,28033,3.218086085643801
