country,airport,total_flights,departures,arrivals
Albania,Tirana,22178.571428571428,11087.42857142857,11091.142857142857
Armenia,Yerevan,18112.85714285714,9068.142857142857,9044.714285714286
Austria,Graz,14181.42857142857,7069.714285714285,7111.714285714285
Austria,Innsbruck,14594.857142857143,7290.714285714285,7304.142857142857
Austria,Klagenfurt,5278.571428571428,2643.5714285714284,2635.0
Austria,Linz,9722.857142857143,4830.714285714285,4892.142857142857
Austria,Salzburg,21829.85714285714,10895.142857142857,10934.714285714286
Austria,Vienna,189267.2857142857,94631.42857142857,94635.85714285714
Belgium,Antwerp,12215.714285714286,6101.714285714285,6114.0
Belgium,Brussels,168356.42857142858,84174.14285714286,84182.28571428571
Belgium,Charleroi,41222.28571428572,20626.714285714286,20595.571428571428
Belgium,Liège,32664.85714285714,16332.42857142857,16332.42857142857
Belgium,Ostend-Bruges,5975.857142857143,2974.714285714286,3001.1428571428573
Bosnia and Herzegovina,Sarajevo,9817.857142857143,4909.285714285715,4908.571428571428
Bulgaria,Sofia,45984.0,23001.14285714286,22982.85714285714
Croatia,Lučko,626.0,322.7142857142857,303.2857142857143
Croatia,Zagreb,33411.28571428572,16699.85714285714,16711.428571428572
Cyprus,Larnaca,45565.0,22778.14285714286,22786.85714285714
Cyprus,Paphos,14288.57142857143,7144.428571428572,7144.142857142857
Czech Republic,Brno-Tuřany,7545.857142857143,3761.4285714285716,3784.4285714285716
Czech Republic,Karlovy Vary,1473.857142857143,714.1428571428571,759.7142857142857
Czech Republic,Ostrava,5631.571428571428,2808.285714285714,2823.285714285714
Czech Republic,Prague,102391.42857142857,51154.57142857143,51236.857142857145
Denmark,Copenhagen - Kastrup,190846.57142857142,95397.85714285714,95448.71428571429
Estonia,Tallinn,31881.285714285714,15945.0,15936.285714285714
Estonia,Tartu,1219.5714285714287,609.0,610.5714285714286
Finland,Helsinki - Vantaa,132721.0,66330.71428571429,66390.28571428571
France,Agen-La Garenne,3156.5714285714284,1544.857142857143,1611.7142857142858
France,Ajaccio-Napoléon-Bonaparte,14889.57142857143,7444.285714285715,7445.285714285715
France,Albert-Bray,993.8571428571429,490.0,503.85714285714283
France,Angers-Marcé,1526.2857142857142,747.7142857142857,778.5714285714286
France,Annecy-Meythet,3132.285714285714,1517.2857142857142,1615.0
France,Annemasse,1522.5714285714287,811.4285714285714,711.1428571428571
France,Avignon-Caumont,5864.428571428572,2795.5714285714284,3068.8571428571427
