country,month_num,total_flights,month_name
Albania,1,1837.142857142857,Jan
Albania,2,1553.2857142857142,Feb
Albania,3,1637.142857142857,Mar
Albania,4,1704.857142857143,Apr
Albania,5,1910.0,May
Albania,6,1925.3333333333333,Jun
Albania,7,2617.8333333333335,Jul
Albania,8,2898.5,Aug
Albania,9,2472.6666666666665,Sep
Albania,10,2077.1666666666665,Oct
Albania,11,1820.0,Nov
Albania,12,1980.6666666666667,Dec
Armenia,1,1553.857142857143,Jan
Armenia,2,1291.4285714285713,Feb
Armenia,3,1528.2857142857142,Mar
Armenia,4,1438.7142857142858,Apr
Armenia,5,1566.857142857143,May
Armenia,6,1530.6666666666667,Jun
Armenia,7,1954.3333333333333,Jul
Armenia,8,2119.0,Aug
Armenia,9,1880.6666666666667,Sep
Armenia,10,1796.0,Oct
Armenia,11,1570.0,Nov
Armenia,12,1672.0,Dec
Austria,1,21470.0,Jan
Austria,2,20879.285714285714,Feb
Austria,3,22151.0,Mar
Austria,4,20451.14285714286,Apr
Austria,5,22319.14285714286,May
Austria,6,23784.833333333332,Jun
Austria,7,26538.833333333332,Jul
Austria,8,26975.833333333332,Aug
Austria,9,26613.0,Sep
Austria,10,25252.0,Oct
Austria,11,21540.333333333332,Nov
Austria,12,21500.166666666668,Dec
Belgium,1,21658.571428571428,Jan
Belgium,2,20748.428571428572,Feb
Belgium,3,22011.428571428572,Mar
Belgium,4,21119.85714285714,Apr
Belgium,5,23735.428571428572,May
Belgium,6,24387.666666666668,Jun
Belgium,7,27506.166666666668,Jul
Belgium,8,27225.0,Aug
Belgium,9,26445.333333333332,Sep
Belgium,10,25678.666666666668,Oct
Belgium,11,22773.666666666668,Nov
Belgium,12,22338.5,Dec
Bosnia and Herzegovina,1,705.4285714285714,Jan
Bosnia and Herzegovina,2,654.2857142857143,Feb
Bosnia and Herzegovina,3,773.7142857142857,Mar
Bosnia and Herzegovina,4,825.5714285714286,Apr
Bosnia and Herzegovina,5,886.7142857142857,May
Bosnia and Herzegovina,6,959.0,Jun
Bosnia and Herzegovina,7,1243.3333333333333,Jul
Bosnia and Herzegovina,8,1276.6666666666667,Aug
Bosnia and Herzegovina,9,1026.5,Sep
Bosnia and Herzegovina,10,930.5,Oct
Bosnia and Herzegovina,11,771.8333333333334,Nov
Bosnia and Herzegovina,12,759.6666666666666,Dec
Bulgaria,1,3956.5714285714284,Jan
Bulgaria,2,3598.1428571428573,Feb
Bulgaria,3,3840.714285714286,Mar
Bulgaria,4,3833.5714285714284,Apr
Bulgaria,5,4109.285714285715,May
Bulgaria,6,4262.833333333333,Jun
Bulgaria,7,4805.833333333333,Jul
Bulgaria,8,4865.333333333333,Aug
Bulgaria,9,4769.0,Sep
Bulgaria,10,4557.833333333333,Oct
Bulgaria,11,3810.3333333333335,Nov
Bulgaria,12,4015.5,Dec
Croatia,1,2717.0,Jan
Croatia,2,2521.4285714285716,Feb
Croatia,3,2815.1428571428573,Mar
Croatia,4,2751.714285714286,Apr
Croatia,5,3156.8571428571427,May
Croatia,6,3257.1666666666665,Jun
Croatia,7,3701.3333333333335,Jul
Croatia,8,3738.1666666666665,Aug
Croatia,9,3618.3333333333335,Sep
Croatia,10,3473.8333333333335,Oct
Croatia,11,2859.5,Nov
Croatia,12,2772.6666666666665,Dec
Cyprus,1,3391.8571428571427,Jan
Cyprus,2,3205.714285714286,Feb
Cyprus,3,3806.1428571428573,Mar
Cyprus,4,4752.0,Apr
Cyprus,5,5960.142857142857,May
Cyprus,6,6530.333333333333,Jun
Cyprus,7,7792.166666666667,Jul
Cyprus,8,8038.666666666667,Aug
Cyprus,9,7437.0,Sep
Cyprus,10,7237.5,Oct
Cyprus,11,4367.833333333333,Nov
Cyprus,12,3790.5,Dec
Czech Republic,1,8830.42857142857,Jan
Czech Republic,2,8328.57142857143,Feb
Czech Republic,3,9211.857142857143,Mar
Czech Republic,4,9067.57142857143,Apr
Czech Republic,5,10114.57142857143,May
Czech Republic,6,12202.666666666666,Jun
Czech Republic,7,13410.5,Jul
Czech Republic,8,13647.333333333334,Aug
Czech Republic,9,13382.0,Sep
Czech Republic,10,11434.0,Oct
Czech Republic,11,9734.0,Nov
Czech Republic,12,9594.166666666666,Dec
Denmark,1,15942.285714285714,Jan
Denmark,2,15562.57142857143,Feb
Denmark,3,16790.714285714286,Mar
Denmark,4,15672.285714285714,Apr
Denmark,5,17106.14285714286,May
