country,season,total_flights,departures,arrivals
Albania,Winter,5088.142857142857,2544.1428571428573,2544.0
Albania,Spring,5252.0,2624.285714285714,2627.714285714286
Albania,Summer,6378.571428571428,3187.714285714286,3190.8571428571427
Albania,Autumn,5459.857142857143,2731.285714285714,2728.5714285714284
Armenia,Winter,4278.428571428572,2140.8571428571427,2137.5714285714284
Armenia,Spring,4533.857142857143,2268.5714285714284,2265.285714285714
Armenia,Summer,4803.428571428572,2406.4285714285716,2397.0
Armenia,Autumn,4497.142857142857,2252.285714285714,2244.8571428571427
Austria,Winter,60778.0,30379.285714285714,30398.714285714286
Austria,Spring,64921.28571428572,32439.714285714286,32481.571428571428
Austria,Summer,66256.71428571429,33102.42857142857,33154.28571428572
Austria,Autumn,62918.857142857145,31439.85714285714,31479.0
Belgium,Winter,61554.28571428572,30780.428571428572,30773.85714285714
Belgium,Spring,66866.71428571429,33423.142857142855,33443.57142857143
Belgium,Summer,67816.14285714286,33905.42857142857,33910.71428571428
Belgium,Autumn,64198.0,32100.714285714286,32097.285714285714
Bosnia and Herzegovina,Winter,2010.857142857143,1004.7142857142857,1006.1428571428571
Bosnia and Herzegovina,Spring,2486.0,1242.0,1244.0
Bosnia and Herzegovina,Summer,2982.0,1490.857142857143,1491.142857142857
Bosnia and Herzegovina,Autumn,2339.0,1171.7142857142858,1167.2857142857142
Bulgaria,Winter,10996.57142857143,5499.0,5497.571428571428
Bulgaria,Spring,11783.57142857143,5899.571428571428,5884.0
Bulgaria,Summer,11943.42857142857,5976.857142857143,5966.571428571428
Bulgaria,Autumn,11260.42857142857,5625.714285714285,5634.714285714285
Croatia,Winter,7615.0,3809.714285714286,3805.285714285714
Croatia,Spring,8723.714285714286,4363.142857142857,4360.571428571428
Croatia,Summer,9168.57142857143,4586.571428571428,4582.0
Croatia,Autumn,8530.0,4263.142857142857,4266.857142857143
Cyprus,Winter,9846.57142857143,4926.0,4920.571428571428
Cyprus,Spring,14518.285714285714,7253.714285714285,7264.571428571428
Cyprus,Summer,19166.714285714286,9580.42857142857,9586.285714285714
Cyprus,Autumn,16322.0,8162.428571428572,8159.571428571428
Czech Republic,Winter,25382.571428571428,12674.0,12708.57142857143
Czech Republic,Spring,28394.0,14172.142857142857,14221.857142857143
Czech Republic,Summer,33651.857142857145,16811.714285714286,16840.14285714286
Czech Republic,Autumn,29614.285714285714,14780.57142857143,14833.714285714286
Denmark,Winter,45033.857142857145,22512.0,22521.85714285714
Denmark,Spring,49569.142857142855,24773.85714285714,24795.285714285714
Denmark,Summer,47884.28571428572,23936.85714285714,23947.428571428572
